Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
298,Stetson,23,11,12,.478,-10.92,-5.11,5,3,5,5,5,6,1463,1515,,64.9,97.5,.377,.340,.524,52.5,44.0,9.4,9.2,.496,19.0,31.0,.243
299,Stony Brook,22,14,8,.636,0.56,-3.16,5,2,6,2,6,6,1578,1453,,70.1,101.2,.325,.438,.534,52.6,48.6,9.4,14.2,.500,18.2,30.7,.231
300,Syracuse,21,13,8,.619,12.28,5.28,6,4,9,4,4,2,1538,1391,,66.8,108.9,.326,.451,.556,50.0,59.9,10.9,14.8,.523,14.8,28.9,.238
301,Temple,20,10,10,.500,7.31,5.11,2,6,5,4,3,4,1354,1310,,71.3,94.9,.308,.350,.492,50.4,56.5,11.4,8.3,.459,16.2,27.1,.210
302,Tennessee-Martin,20,6,14,.300,-12.83,-0.50,2,7,3,4,2,8,1545,1689,,71.3,108.3,.332,.377,.555,47.8,42.3,7.4,7.8,.519,15.5,31.3,.247
303,Tennessee State,22,13,9,.591,-5.67,-5.37,5,4,8,1,3,8,1650,1607,,71.8,104.4,.343,.368,.563,54.8,51.1,7.5,11.6,.544,20.0,34.0,.222
304,Tennessee Tech,22,5,17,.227,-15.24,-2.94,2,7,3,7,2,8,1430,1624,,69.7,92.7,.208,.404,.505,49.9,55.2,9.1,8.8,.486,20.1,28.6,.139
305,Tennessee,20,12,8,.600,11.89,5.69,4,3,8,4,2,3,1323,1199,,66.8,99.0,.341,.371,.531,51.1,65.0,8.6,16.4,.488,18.3,28.8,.256
306,Texas A&M-Corpus Christi,22,9,13,.409,-10.41,-5.16,5,6,6,4,3,9,1394,1461,,67.3,94.2,.325,.406,.531,52.2,55.4,7.9,8.3,.497,22.0,29.6,.228
307,Texas A&M,19,10,9,.526,2.10,4.05,4,3,7,4,3,1,1163,1200,,65.3,93.1,.405,.400,.491,50.1,52.2,9.8,11.2,.448,18.1,30.8,.275
308,Texas-Arlington,22,9,13,.409,3.64,3.34,5,6,4,5,5,7,1557,1500,,69.4,102.0,.278,.425,.520,49.5,59.3,8.0,7.8,.481,14.5,27.6,.214
309,Texas Christian,20,13,7,.650,11.59,6.43,4,3,11,3,1,3,1380,1261,,66.9,101.8,.255,.442,.528,52.2,62.1,11.4,13.7,.512,17.5,33.1,.160
310,Texas-El Paso,22,13,9,.591,0.41,-0.12,4,5,11,1,1,7,1504,1437,,69.5,97.8,.370,.394,.535,50.2,51.6,8.4,8.9,.487,18.2,24.0,.284
311,Texas-Rio Grande Valley,20,6,14,.300,-8.38,-1.80,2,5,6,3,0,9,1431,1423,,70.4,100.4,.287,.309,.512,48.4,55.5,12.2,12.5,.481,15.1,29.5,.201
312,Texas-San Antonio,22,10,12,.455,-2.79,0.69,4,5,8,2,2,6,1725,1691,,74.4,104.2,.263,.426,.541,50.7,48.7,8.0,7.9,.510,15.3,27.7,.197
313,Texas Southern,20,9,11,.450,-7.54,-0.12,6,1,6,1,3,10,1416,1519,,75.0,93.2,.380,.300,.489,49.8,49.2,7.6,6.9,.443,18.2,31.4,.269
314,Texas State,22,13,9,.591,3.38,-0.57,6,5,9,3,4,6,1586,1397,,67.4,106.9,.396,.294,.546,49.1,52.6,9.6,8.3,.499,14.8,28.4,.300
315,Texas Tech,20,13,7,.650,15.78,5.68,4,3,10,2,1,3,1471,1269,,69.9,103.2,.366,.363,.550,51.3,64.1,10.7,10.8,.506,17.6,29.3,.280
316,Texas,20,13,7,.650,9.53,6.98,3,4,8,3,3,3,1319,1268,,66.8,98.8,.206,.447,.528,47.9,55.5,8.2,11.3,.514,18.0,28.1,.133
317,Toledo,21,11,10,.524,2.67,-0.88,3,5,6,4,5,6,1618,1488,,70.4,108.9,.354,.426,.557,51.5,58.9,9.0,9.5,.521,15.4,30.5,.261
318,Towson,22,13,9,.591,0.32,-1.30,7,3,7,3,4,3,1552,1449,,66.9,104.2,.346,.343,.532,53.1,46.2,9.0,9.4,.489,15.8,31.8,.261
319,Troy,23,8,15,.348,-8.68,-1.54,4,8,6,5,2,10,1587,1659,,70.8,96.5,.281,.418,.497,49.2,58.2,8.1,8.2,.468,17.4,31.1,.190
320,Tulane,20,10,10,.500,0.79,0.79,2,6,6,3,2,3,1374,1374,,68.8,99.3,.340,.398,.523,45.0,48.4,12.0,7.6,.489,15.3,23.1,.238
321,Tulsa,20,14,6,.700,8.60,1.60,6,1,10,1,4,4,1425,1285,,68.1,102.2,.364,.325,.541,51.1,53.2,11.2,7.9,.505,16.8,27.5,.259
322,UCLA,21,11,10,.524,6.05,6.05,4,4,8,4,2,3,1461,1435,,67.0,103.2,.377,.318,.522,55.1,53.2,10.4,10.8,.483,16.8,36.3,.266
323,Utah State,23,17,6,.739,13.70,3.70,6,4,11,1,2,4,1788,1465,,69.7,109.8,.373,.379,.558,56.0,61.4,9.1,8.5,.514,15.0,32.3,.286
324,Utah Valley,23,9,14,.391,-8.34,-4.04,3,5,4,5,5,9,1585,1608,,71.5,95.8,.327,.386,.520,49.9,51.3,7.9,13.3,.485,17.6,24.8,.230
325,Utah,20,12,8,.600,9.23,6.18,3,5,8,1,1,5,1484,1423,,69.4,106.2,.392,.394,.561,52.8,56.0,7.2,6.5,.520,16.7,30.0,.291
326,Valparaiso,22,11,11,.500,-0.04,0.72,4,5,7,1,3,7,1612,1601,,71.4,101.5,.268,.414,.529,49.1,57.2,11.6,9.6,.501,16.1,27.8,.191
327,Vanderbilt,20,8,12,.400,1.88,3.28,0,7,8,6,0,5,1447,1475,,70.1,102.0,.409,.451,.538,47.6,50.2,10.2,10.7,.504,16.4,26.5,.277
328,Vermont,22,16,6,.727,6.23,-3.05,6,1,7,2,8,3,1531,1287,,66.8,104.1,.298,.427,.537,52.5,52.7,9.2,10.5,.505,15.8,28.4,.214
329,Villanova,20,17,3,.850,16.71,7.96,7,1,10,0,4,2,1491,1316,,67.7,109.4,.272,.462,.560,51.8,57.8,9.0,7.5,.526,14.5,27.8,.213
330,Virginia Commonwealth,21,16,5,.762,12.69,2.35,6,2,12,1,4,2,1527,1310,,70.4,103.3,.335,.382,.536,49.3,53.7,13.6,13.3,.502,15.8,28.5,.238
331,VMI,23,6,17,.261,-7.99,-3.04,1,9,5,6,0,10,1661,1600,,67.4,104.8,.232,.498,.539,50.4,63.5,10.3,7.0,.515,15.8,29.3,.167
332,Virginia Tech,21,14,7,.667,10.60,3.08,5,5,10,2,3,3,1488,1330,,66.4,105.4,.256,.476,.544,49.7,61.7,9.1,8.6,.522,13.1,22.9,.177
333,Virginia,20,14,6,.700,10.93,5.38,6,4,9,3,3,3,1125,1014,,60.4,92.0,.265,.372,.486,53.8,54.1,9.3,15.0,.453,18.1,29.3,.188
334,Wagner,20,5,15,.250,-13.80,-3.96,2,7,3,5,2,10,1385,1542,,70.3,97.3,.319,.379,.503,49.6,53.8,7.8,7.2,.466,16.7,30.4,.227
335,Wake Forest,20,9,11,.450,5.50,6.60,2,8,5,4,1,6,1448,1470,,70.9,100.9,.420,.321,.532,52.4,50.9,6.8,7.2,.481,17.8,29.4,.314
336,Washington State,22,13,9,.591,4.65,1.38,4,5,10,2,1,5,1563,1491,,70.9,99.6,.285,.393,.505,49.5,47.4,9.7,6.3,.470,14.2,27.7,.206
337,Washington,22,12,10,.545,13.21,7.03,2,7,9,4,1,4,1542,1406,,69.1,100.3,.379,.369,.549,50.2,52.9,10.1,16.7,.514,19.0,28.0,.267
338,Weber State,21,8,13,.381,-7.95,0.55,4,6,5,4,3,5,1497,1483,,69.7,101.1,.298,.372,.546,47.9,46.2,7.8,9.6,.520,15.5,22.0,.205
339,West Virginia,20,16,4,.800,21.19,9.09,4,3,10,0,3,4,1473,1231,,71.2,103.4,.431,.300,.516,56.1,49.1,11.4,11.4,.481,17.0,40.1,.280
340,Western Carolina,20,13,7,.650,-0.44,-1.72,5,4,8,2,5,5,1599,1491,,72.6,108.7,.360,.465,.584,53.1,52.9,7.3,4.3,.559,17.6,29.9,.251
341,Western Illinois,19,5,14,.263,-13.61,-2.90,2,7,4,7,1,7,1430,1534,,73.7,101.5,.217,.347,.526,47.1,38.5,6.7,5.5,.496,13.0,21.3,.170
342,Western Kentucky,21,14,7,.667,4.46,0.76,7,2,9,1,3,4,1609,1492,,70.4,107.6,.376,.363,.574,48.6,42.9,9.1,11.2,.529,16.2,25.4,.295
343,Western Michigan,20,9,11,.450,-6.03,-0.36,2,5,7,2,2,7,1428,1461,,69.3,101.1,.386,.391,.526,47.4,48.1,7.7,5.9,.484,14.9,24.9,.276
344,Wichita State,20,17,3,.850,14.60,3.75,5,2,13,1,3,1,1491,1274,,72.1,102.1,.384,.372,.509,53.3,57.7,10.3,10.0,.469,14.8,32.7,.266
345,William & Mary,23,16,7,.696,-1.07,-2.98,8,2,8,1,8,5,1668,1566,,68.8,105.4,.294,.390,.567,52.9,52.5,6.7,9.6,.536,16.7,25.8,.220
346,Winthrop,22,15,7,.682,2.85,-4.30,9,0,8,2,7,5,1778,1547,,72.7,109.3,.336,.434,.549,54.5,55.1,9.7,7.1,.530,16.1,35.3,.212
347,Wisconsin,21,12,9,.571,14.28,9.42,5,5,9,1,3,5,1392,1290,,64.2,102.6,.271,.434,.535,50.0,50.8,7.4,10.2,.502,14.5,24.8,.205
348,Wofford,22,14,8,.636,0.36,-2.09,6,3,9,1,5,7,1599,1481,,66.9,107.5,.253,.485,.570,49.2,51.0,8.5,8.9,.546,15.3,24.6,.187
349,Wright State,22,18,4,.818,4.03,-6.17,8,1,10,2,6,1,1793,1533,,72.9,110.6,.352,.336,.542,53.0,49.2,9.1,9.2,.517,13.8,34.6,.232
350,Wyoming,22,5,17,.227,-4.84,4.25,0,10,4,10,1,5,1304,1481,,65.2,89.4,.314,.467,.510,44.2,50.1,7.3,6.5,.474,18.4,15.6,.224
351,Xavier,21,13,8,.619,11.24,7.38,2,6,10,3,1,4,1507,1426,,69.5,100.3,.312,.353,.511,52.0,55.8,8.5,10.2,.483,16.2,32.1,.206
352,Yale,18,14,4,.778,7.68,-0.26,2,0,5,0,7,4,1362,1128,,68.8,105.5,.346,.426,.570,53.4,61.3,8.5,10.4,.541,17.1,25.3,.246
353,Youngstown State,23,12,11,.522,-6.70,-3.99,5,5,9,3,3,8,1667,1650,,69.5,102.6,.318,.365,.500,52.3,47.3,8.9,6.6,.470,14.3,35.2,.213
