Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
118,Harvard,Ivy,,,13,4,73.5,65.5,8.06,,-1.03,,2.42,1.55,3.98,103.76,96.29,7.47
119,South Florida,AAC,,,9,12,62.2,61.8,0.48,,3.34,,-5.22,9.04,3.82,99.15,92.27,6.89
120,Indiana State,MVC,,,12,8,69.5,67.5,2.00,,2.01,,1.47,2.28,3.74,105.57,98.97,6.61
121,Texas-Arlington,Sun Belt,,,9,13,70.8,68.2,2.59,,3.34,,0.50,3.14,3.64,101.27,94.59,6.68
122,Texas State,Sun Belt,,,13,9,72.1,63.5,8.59,,-0.57,,-2.42,5.80,3.38,102.65,95.97,6.67
123,UC-Irvine,Big West,,,13,9,73.7,65.6,8.09,,-0.64,,0.07,3.05,3.11,100.56,94.83,5.73
124,New Mexico,MWC,,,16,7,79.0,75.9,3.09,,0.80,,7.23,-4.16,3.07,105.78,99.72,6.05
125,South Dakota State,Summit,,,16,8,77.3,69.9,7.33,,-3.18,,3.95,-0.99,2.96,107.35,101.23,6.11
126,New Mexico State,WAC,,,16,6,70.8,60.6,10.23,,-2.30,,-2.77,5.72,2.95,102.99,96.59,6.41
127,Santa Clara,WCC,,,17,6,77.1,70.2,6.91,,-0.32,,4.02,-1.14,2.87,101.77,96.18,5.60
128,Winthrop,Big South,,,15,7,80.8,70.3,10.50,,-4.30,,5.45,-2.60,2.85,102.72,97.80,4.92
129,Little Rock,Sun Belt,,,16,7,71.1,66.5,4.57,,-1.29,,-0.21,2.88,2.67,99.77,95.10,4.67
130,Toledo,MAC (West),,,11,10,77.0,70.9,6.19,,-0.88,,4.06,-1.39,2.67,105.96,101.20,4.76
131,Pacific,WCC,,,16,8,70.2,64.8,5.42,,-0.63,,-2.30,4.85,2.56,102.17,96.72,5.45
132,St. Bonaventure,A-10,,,13,8,67.7,64.9,2.81,,0.76,,-1.78,4.24,2.46,102.32,97.01,5.30
133,College of Charleston,CAA,,,13,9,71.5,67.8,3.68,,-0.20,,0.20,2.22,2.42,104.91,100.60,4.31
134,Northeastern,CAA,,,11,11,72.5,66.6,5.91,,-3.59,,0.94,1.38,2.32,105.51,100.90,4.62
135,Texas A&M,SEC,,,10,9,61.2,63.2,-1.95,,4.05,,-6.12,8.23,2.10,97.61,93.35,4.26
136,University of California,Pac-12,,,9,11,63.1,68.2,-5.10,,7.19,,-3.63,5.72,2.09,98.98,95.06,3.92
137,Southern Utah,Big Sky,,,12,8,74.0,63.7,10.30,,-2.22,,-1.82,3.82,2.01,96.48,92.37,4.11
138,Charlotte,CUSA,,,12,8,67.3,62.9,4.40,,-2.40,,-4.54,6.54,2.00,98.69,93.85,4.85
139,Marshall,CUSA,,,10,12,75.0,72.1,2.91,,0.64,,4.13,-2.16,1.98,99.43,95.41,4.02
140,Buffalo,MAC (East),,,14,7,79.5,75.9,3.62,,-0.03,,7.94,-6.02,1.92,102.97,99.03,3.94
141,Vanderbilt,SEC,,,8,12,72.4,73.8,-1.40,,3.28,,4.48,-2.60,1.88,104.03,100.16,3.88
142,Hawaii,Big West,,,13,6,70.8,67.8,3.05,,-0.50,,0.92,0.87,1.78,102.40,98.47,3.93
143,Fresno State,MWC,,,7,14,68.2,67.7,0.52,,3.47,,-1.88,3.65,1.77,104.36,100.48,3.88
144,Murray State,OVC,,,16,5,77.8,65.2,12.52,,-6.79,,2.51,-0.77,1.74,103.73,99.92,3.81
145,Oral Roberts,Summit,,,11,10,78.6,71.9,6.71,,0.37,,4.98,-3.32,1.67,106.46,102.64,3.82
146,Boston College,ACC,,,10,11,64.5,68.3,-3.86,,5.39,,-2.01,3.54,1.53,96.43,93.23,3.20
147,Pepperdine,WCC,,,11,11,77.2,78.2,-1.00,,2.52,,8.10,-6.58,1.52,107.57,104.27,3.29
148,Bowling Green State,MAC (East),,,16,5,75.3,71.3,4.00,,-0.80,,4.26,-2.91,1.35,103.28,100.03,3.26
149,Northern Kentucky,Horizon,,,14,7,73.8,65.7,8.10,,-3.42,,-1.33,2.65,1.32,102.14,98.46,3.68
